rho,cl,stability,resid,standard,reversed,difference
0,0,0,0.3,7.300215254554154e-4,9.450711684614076e-4,-2.0483529339858697e-4
0,0,0,0.6,3.4170336675707757e-4,-0.0040144311668258,0.003719609827922891
0,0,0,0.8999999999999999,0.0012366319956627588,-9.561275482981773e-4,0.0016439808240980075
0,0,0.25,0.3,2.8047062187143575e-4,6.099762980109425e-4,-0.001295787558995487
0,0,0.25,0.6,-0.0010621599411747824,-0.0016233398412751412,9.803808020293287e-4
0,0,0.25,0.8999999999999999,7.839100580740001e-4,-0.0014235464867804826,0.00150469950668203
0,0,0.5,0.3,3.6420660387360265e-4,-8.788469528007497e-4,0.001789022928260638
0,0,0.5,0.6,0.0016192025892737669,-9.001259894669845e-4,0.0016259583879919763
0,0,0.5,0.8999999999999999,6.090632081006349e-4,-2.665019839296644e-4,5.832087887251669e-4
0,0,0.75,0.3,-6.548639460914838e-5,-4.701216641929034e-4,0.002357450087201889
0,0,0.75,0.6,-0.002402030870827673,0.002844384594711148,-0.004586392583038377
0,0,0.75,0.8999999999999999,0.0031674650851642797,-0.00170032586175778,0.0033783569420649927
0,0,1,0.3,-9.606356778282201e-4,3.4431567150072014e-4,-0.003191832257389439
0,0,1,0.6,7.420169928320092e-4,-2.2830198272899902e-4,0.0012301901944800572
0,0,1,0.8999999999999999,4.605623779787926e-4,-0.0014530659353496306,5.393373785079813e-4
0,0.25,0,0.3,0.2502090105646395,0.002885789645737026,0.2324145827279131
0,0.25,0,0.6,0.24841227326139909,8.25602234626271e-4,0.20857139147106626
0,0.25,0,0.8999999999999999,0.24737414343645042,0.00468336231982191,0.1773922626945751
0,0.25,0.25,0.3,0.2504639723019052,-0.41161503706822183,0.29714863583227663
0,0.25,0.25,0.6,0.24875323690972,-0.14987719783218148,0.25226783920822693
0,0.25,0.25,0.8999999999999999,0.24788995387473908,-0.0649536273799851,0.20243888334892401
0,0.25,0.5,0.3,0.25015458055656997,-0.3674330976176734,0.39241790045272257
0,0.25,0.5,0.6,0.24970600677957489,-0.20260280948500448,0.302122721592515
0,0.25,0.5,0.8999999999999999,0.2488924270420563,-0.11753486398566143,0.23528593051063731
0,0.25,0.75,0.3,0.24996398448712134,-0.287939228921083,0.5402567397691008
0,0.25,0.75,0.6,0.25046655740434753,-0.20386180311704627,0.35960501577341
0,0.25,0.75,0.8999999999999999,0.24933014614318122,-0.13722241392047216,0.2579968006013132
0,0.25,1,0.3,0.24990463844681549,-0.22933240180911543,0.6390397247246835
0,0.25,1,0.6,0.2491471445856696,-0.1836704893528772,0.3846692768513712
0,0.25,1,0.8999999999999999,0.24985262582600204,-0.13752497030265784,0.26697443214424105
0,0.5,0,0.3,0.49941400704441946,-0.0024033321652816644,0.43033257813493286
0,0.5,0,0.6,0.5001283408143297,-5.307068668852325e-4,0.3945074865697782
0,0.5,0,0.8999999999999999,0.5016201026948431,-5.67390402728199e-4,0.34823447051799
0,0.5,0.25,0.3,0.5007883919765965,-0.8204935522875786,0.5264355432959433
0,0.5,0.25,0.6,0.49964036050956356,-0.3015863576356944,0.46341640557328334
0,0.5,0.25,0.8999999999999999,0.49812276751694,-0.14350424905512063,0.39200990404564034
0,0.5,0.5,0.3,0.4996472538760917,-0.7348215256751542,0.6480098499838322
0,0.5,0.5,0.6,0.5010793787461268,-0.41182790622632626,0.5413308560117722
0,0.5,0.5,0.8999999999999999,0.4975789809246104,-0.23562823509092615,0.43432417256247496
0,0.5,0.75,0.3,0.5013065885646892,-0.5764359602518532,0.7886297750667776
0,0.5,0.75,0.6,0.4999073580008294,-0.40737685539681173,0.6103552548763783
0,0.5,0.75,0.8999999999999999,0.500118378313862,-0.27344333480592775,0.47204045721994153
0,0.5,1,0.3,0.49965400289521794,-0.458813074430263,0.8566714913879488
0,0.5,1,0.6,0.4993901278721168,-0.3660871129079416,0.6401835713382562
0,0.5,1,0.8999999999999999,0.49941527701251825,-0.27646716557084056,0.4860119678298724
0,0.75,0,0.3,0.750162337166959,-0.0015808764014521206,0.5844603014949448
0,0.75,0,0.6,0.749856445920424,1.8203350471491274e-5,0.5411253298044112
0,0.75,0,0.8999999999999999,0.749364855830586,0.004238970796489941,0.4849671818263063
0,0.75,0.25,0.3,0.7496823722171098,-1.228905815409563,0.6824184916712357
0,0.75,0.25,0.6,0.7499192596934922,-0.4494053122126793,0.6182907548744369
0,0.75,0.25,0.8999999999999999,0.7487421211086855,-0.21347181193577594,0.538741321511734
0,0.75,0.5,0.3,0.7500355873378511,-1.101046836240358,0.7903077734561771
0,0.75,0.5,0.6,0.7519749119953649,-0.6176748981969883,0.6931232368601604
0,0.75,0.5,0.8999999999999999,0.747531262124162,-0.35286161301849167,0.5877341509786516
0,0.75,0.75,0.3,0.7495311036840964,-0.8613978428020372,0.886547561110021
0,0.75,0.75,0.6,0.7489571291917799,-0.6088723991571127,0.7557800682784573
0,0.75,0.75,0.8999999999999999,0.7513996703934379,-0.416211442355102,0.6285315484505175
0,0.75,1,0.3,0.7499714806649826,-0.6875976825026954,0.9282823535202962
0,0.75,1,0.6,0.7521926737899788,-0.5534088466353484,0.7822835004540186
0,0.75,1,0.8999999999999999,0.7482203788473708,-0.41403741198604216,0.6385585013341268
0,1,0,0.3,1.0008539107603673,0.005392434650301625,0.6912394578540852
0,1,0,0.6,0.9996089523890128,0.0011269828066926325,0.6504719181238534
0,1,0,0.8999999999999999,0.9990995670961753,0.004660441700306482,0.5944532484863738
0,1,0.25,0.3,1.0002939956176549,-1.644659484822162,0.7784271732615509
0,1,0.25,0.6,1.0026194814067513,-0.5993773571927755,0.7229835715472327
0,1,0.25,0.8999999999999999,1.0016404406674575,-0.2883108734674034,0.6503736841384505
0,1,0.5,0.3,1.0008418030980386,-1.471787567732608,0.8644953905618094
0,1,0.5,0.6,0.9983649990395825,-0.8190813289746058,0.7877389250990401
0,1,0.5,0.8999999999999999,1.000763058736678,-0.4724379376365248,0.6964306124956615
0,1,0.75,0.3,0.9991473007770376,-1.1495906751287825,0.9311120888954925
0,1,0.75,0.6,1.0000831604182892,-0.8146742854142899,0.8384839285463215
0,1,0.75,0.8999999999999999,0.9999246046413502,-0.5447852054150829,0.7314660453326437
0,1,1,0.3,1.0004347092473813,-0.9172089405948494,0.9576664438184803
0,1,1,0.6,1.0007009322841978,-0.7360767129757809,0.8573288754836685
0,1,1,0.8999999999999999,1.0043069679285914,-0.5557392790988492,0.7447228142466686
0.3,0,0,0.3,-3.105850380287047e-4,0.2998119471650006,-0.2877190806953342
0.3,0,0,0.6,-0.0026858307265079174,0.3015587068390053,-0.2597745647917322
0.3,0,0,0.8999999999999999,0.0016985503708682103,0.29682179219606164,-0.2193435894203592
0.3,0,0.25,0.3,-0.0013435577882173807,0.18544472679060178,-0.27918093309508685
0.3,0,0.25,0.6,0.0010768806910731684,0.26037926070813905,-0.23491854374189736
0.3,0,0.25,0.8999999999999999,0.0035287907501329453,0.2808368989543688,-0.1900428614381689
0.3,0,0.5,0.3,7.595641726954745e-4,0.08318277200608257,-0.25480692665536175
0.3,0,0.5,0.6,-7.528810193046014e-4,0.18617496974056,-0.19439861112382606
0.3,0,0.5,0.8999999999999999,4.946293547362999e-4,0.2310893004641229,-0.14351221917442128
